hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
40,1,4033657975,80,6,proxy8,proxy9,660973760
40,1,1695708854,80,6,proxy8,proxy9,660973760
39,5,3636299581,80,6,proxy8,proxy9,1191291072;1124182208;620865728;553756864;520202432
37,1,3484982077,80,6,proxy8,proxy9,660973760
36,1,2384649499,80,6,proxy8,proxy9,553756864
35,1,1759311996,27587,6,proxy8,proxy9,553756864
35,1,1604996109,443,6,proxy8,proxy9,687974592
34,5,1569323578,443,6,proxy8,proxy9,1124182208;671197376;620865728;520202432;335653056
34,1,3765599611,0,1,proxy8,proxy9,1124182208
33,3,2502611147,80,6,proxy8,proxy9,620865728;536979648;335653056
32,1,3865917341,443,6,proxy8,proxy9,687974592
32,1,3910584385,80,6,proxy8,proxy9,2181146816
31,5,2135620132,80,6,proxy8,proxy9,1191291072;671197376;654420160;620865728;335653056
31,3,1157552555,80,6,proxy8,proxy9,687974592;660973760;654420160
31,1,2263937916,80,6,proxy8,proxy9,660973760
31,1,3691711243,2492,6,proxy8,proxy9,687974592
31,1,610737882,80,6,proxy8,proxy9,687974592
29,6,1832091259,80,6,proxy8,proxy9,1191291072;1124182208;1073850560;620865728;553756864;520202432
29,3,3863008222,80,6,proxy8,proxy9,660973760;654420160;570534080
29,3,1943565942,80,6,proxy8,proxy9,660973760;654420160;536979648
29,3,3346832701,80,6,proxy8,proxy9,660973760;654420160;536979648
29,2,3166497088,443,6,proxy8,proxy9,660973760;654420160
28,6,593939055,80,6,proxy8,proxy9,1191291072;1124182208;1073850560;620865728;553756864;520202432
28,3,690606283,80,6,proxy8,proxy9,660973760;620865728;553756864
28,1,975562611,80,6,proxy8,proxy9,620865728
27,3,40282304,2492,6,proxy8,proxy9,660973760;660842688;654420160
27,3,2325984732,80,6,proxy8,proxy9,660973760;654420160;536979648
27,1,2615562925,17972,6,proxy8,proxy9,687974592
27,1,3456302448,443,6,proxy8,proxy9,1124182208
27,1,902807930,0,1,proxy8,proxy9,1124182208
26,4,2114714170,8000,17,proxy8,proxy9,704751808;671197376;620865728;335653056
25,3,1267089533,80,6,proxy8,proxy9,660973760;654420160;536979648
25,2,859886558,80,6,proxy8,proxy9,660973760;654420160
25,1,1242250794,5566,17,proxy8,proxy9,620865728
24,6,2152397348,80,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;620865728;335653056
24,4,1451064699,80,6,proxy8,proxy9,1191291072;1124182208;620865728;553756864
24,2,1479266507,443,6,proxy8,proxy9,536979648;520202432
24,1,164610426,80,6,proxy8,proxy9,1124182208
24,1,3341275339,80,6,proxy8,proxy9,520202432
24,1,2485833931,80,6,proxy8,proxy9,520202432
24,1,1719836627,80,6,proxy8,proxy9,1124182208
23,2,2397360999,80,6,proxy8,proxy9,660973760;654420160
22,6,3087248006,80,6,proxy8,proxy9,687974592;671197376;660973760;654420160;553756864;520202432
22,3,3748414135,80,6,proxy8,proxy9,660973760;654420160;536979648
22,2,1210696058,6643,6,proxy8,proxy9,660973760;654420160
22,1,1753391059,80,6,proxy8,proxy9,1124182208
21,4,3879785438,80,6,proxy8,proxy9,660973760;655075500;654420160;570534080
21,3,1851081341,80,6,proxy8,proxy9,660973760;654420160;536979648
21,3,1565868669,80,6,proxy8,proxy9,660973760;654420160;536979648
21,1,1770168275,80,6,proxy8,proxy9,1124182208
20,6,2202728996,80,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;620865728;335653056
20,3,141196150,80,6,proxy8,proxy9,660973760;654420160;536979648
20,2,2976883055,80,6,proxy8,proxy9,671197376;520202432
20,2,1380736120,443,6,proxy8,proxy9,671197376;536979648
20,1,2460600677,443,6,proxy8,proxy9,553756864
20,1,311811138,443,6,proxy8,proxy9,660973760
20,1,295230530,443,6,proxy8,proxy9,660973760
20,1,1798073201,80,6,proxy8,proxy9,660973760
20,1,1713475795,80,6,proxy8,proxy9,660973760
20,1,590401739,80,6,proxy8,proxy9,536979648
20,1,2409403828,80,6,proxy8,proxy9,536979648
