hit_cnt,sip_cnt,dip_cnt,dip,dport,proto,inif,outif,src_ip
8,1,2,2872663160;3124386936,9002,6,proxy8;,proxy9;,671197376
8,1,1,1546731050,7501,17,proxy8;,proxy9;,620865728
7,7,1,3087248006,443,6,proxy8;,proxy9;,687974592;671197376;660973760;660842688;654420160;553756864;520202432
7,4,1,1909226826,80,6,proxy8;,proxy9;,1124182208;671197376;660973760;536979648
7,3,1,1691123018,80,6,proxy8;,proxy9;,1191291072;1124182208;660973760
7,3,1,1491062383,443,6,proxy8;,proxy9;,1191291072;671197376;620865728
7,2,1,984000479,80,6,proxy8;,proxy9;,637642944;553756864
7,2,2,640274635;1310316972,443,6,proxy8;,proxy9;,1191291072;671197376
6,4,1,28420288,2492,6,proxy8;,proxy9;,1191291072;671197376;553756864;536979648
6,4,1,2919475846,80,6,proxy8;,proxy9;,687974592;671197376;553756864;520202432
6,3,1,2328657226,80,6,proxy8;,proxy9;,1124182208;671197376;660973760
6,3,1,1724677450,80,6,proxy8;,proxy9;,1124182208;660973760;536979648
6,3,1,1366477423,443,6,proxy8;,proxy9;,1191291072;1124182208;660973760
6,3,1,3884604016,8080,6,proxy8;,proxy9;,1124182208;704751808;520202432
6,3,1,220270862,8080,6,proxy8;,proxy9;,1073850560;671197376;335653056
6,1,1,3166431552,5228,6,proxy8;,proxy9;,660973760
6,1,1,23439552,1900,17,proxy8;,local;,660973760
5,5,1,425089648,443,6,proxy8;,proxy9;,1124182208;1073850560;671197376;620865728;520202432
5,3,1,682323492,80,6,proxy8;,proxy9;,704751808;660973760;536979648
5,3,1,1412441396,443,6,proxy8;,proxy9;,1191291072;671197376;536979648
5,2,1,100983397,53,6,proxy8;,proxy9;,704751808;671197376
5,2,1,3370652277,443,6,proxy8;,proxy9;,655075500;654420160
5,2,1,869920627,443,6,proxy8;,proxy9;,687974592;536979648
5,1,2,704751808;570534080,2492,6,proxy9;,proxy8;,3104025222
5,1,1,536979648,2492,6,proxy9;,proxy8;,3036916358
5,1,1,2738764983,8000,17,proxy8;,proxy9;,335653056
4,4,1,3053693574,443,6,proxy8;,proxy9;,1191291072;660973760;654420160;520202432
4,3,1,502076021,80,6,proxy8;,proxy9;,687974592;654420160;335653056
